scripts	0.9818550244082159
express	0.7805485889780189
cigna	0.4487515354008776
cigna-express	0.2282560166269765
icahn	0.20037798809928092
esrx	0.19225047055159122
carl	0.12567787904802682
shareholders	0.06988420598945205
@cigna	0.0660600295162582
cigna's	0.05972753357843499
@expressscripts	0.05951027479369204
vote	0.05215652194700432
billion	0.03505741186429834
investor	0.03258635685142101
cvs-aetna	0.030684815157772764
67b	0.029981712294526976
manager	0.02860363068256523
stake	0.027679050417397013
benefit	0.02764565303139284
evicore	0.025627044711014176
activist	0.02326180667905534
iss	0.019621843156031885
approve	0.018560157832530743
purchase	0.018210364158065963
cordani	0.017433435494179365
sizable	0.017356094179222327
pharmacy	0.016946185209950032
holding	0.01675915984832665
@fiercehealth	0.016368586207793613
3.6	0.015720325367880997
benefits	0.015005269755960027
nearing	0.014357008916047409
backs	0.013863430706048865
#pbm	0.013778706811027747
david	0.013310791855537674
opposition	0.013203920220324314
st	0.012128172839558256
oppose	0.012098642519301931
greenlight	0.011796659839537864
drug	0.01111816557650568
icahn's	0.010905125408942203
letter	0.01057712792323804
#biotechnology	0.010385532393003563
proxy	0.010352486558431013
stockholders	0.010146125868068373
stock	0.009998122715355134
louis	0.0099914432381543
@carl_c_icahn	0.009814612868047983
attempt	0.009692976072706461
firm	0.009394508907258622
glenview	0.00935408049262199
northwell	0.009177250122515674
recommends	0.009155102382323432
pbms	0.00904823074711007
announced	0.008672070715273573
takeaways	0.008602463531812241
#expressscripts	0.008532504796919286
capabilities	0.008171461476642572
wsj	0.007957366654784227
advisory	0.007795652996237697
scrips	0.007541481311174343
reaffirms	0.0073277380407476235
support	0.007323870974999772
52b	0.007088331515812432
solicit	0.007088331515812432
management	0.0070549341298082584
broadening	0.006996225040727233
runaway	0.006996225040727233
#drugs	0.006904118565642035
barbs	0.006904118565642035
approving	0.00685982308525755
control	0.006830292765001226
prompt	0.006627799140386439
worst	0.006513544925108999
overpaying	0.006266755820109726
pharma	0.006255506174297792
billionaire	0.006251990659981565
valued	0.006237225499853403
icymi	0.006189062953721068
supreme	0.006174649345024528
drama	0.006167266764960447
co	0.006141251959020353
combining	0.006060395129747088
favor	0.0060530125496830066
#afp	0.0059978189749182115
https://t.co/ibycpcb3q6	0.0059978189749182115
pharmalittle	0.005905712499833013
expr	0.005905712499833013
agrees	0.005901845434085161
cleared	0.005890947339704852
drugs	0.005839269279256286
builds	0.005791458284555572
consolidate	0.005691969229406293
fight	0.0056402911689577276
medco	0.005629393074577418
https://t.co/zos5ovgye2	0.0054525627044711015
scripts-cigna	0.005360456229385903
dramatically	0.005353073649321822
middle	0.00533830848919366
deal	0.005284872671587004
middleman	0.005268349754300705
shareholder	0.005179758793531735
long-term	0.0050693716440021455
unite	0.004992030329045109
rebates	0.004977265168916947
company's	0.004969882588852866
67bn	0.004907306434023991
ridiculous	0.00489992385395991
stat	0.00489254127389583
votes	0.00489254127389583
trade	0.004840863213447264
abandons	0.004815199958938793
lawmaker	0.004723093483853595
entry	0.0046640328433409485
lewis	0.004630987008768396
voted	0.004616221848640235
investors	0.0045975896227642195
insurer's	0.004538880533683198
glass	0.004538880533683198
specialty	0.004432008898469837
biosource	0.004362050163576881
manipal	0.004362050163576881
shortsighted	0.004362050163576881
clearance	0.00434728500344872
robbins	0.004262561108427602
shakeup	0.0041778372134064845
🗞	0.0041778372134064845
drove	0.0041778372134064845
built	0.004170454633342403
contract	0.00414443982740231
approximately	0.004078348158257205
east	0.004070965578193125
march	0.004056200418064962
citing	0.004041435257936801
sense	0.004004522357616397
cramer	0.003993624263236088
megamergers	0.003964093942979764
longer	0.0039567113629156835
plunges	0.003901517788150889
drops	0.0038646048878304847
#express	0.003816793893129771
https://t.co/smicamj0lm	0.003816793893129771
quicktake	0.003816793893129771
expre	0.003816793893129771
nasdaq	0.0038094113130656905
publicly	0.0038094113130656905
clout	0.0038094113130656905
grants	0.0038094113130656905
vi	0.0038094113130656905
spend	0.0037946461529375286
pbm	0.0037573817011855026
ttk	0.0037173048379804917
#biosimilars	0.0037173048379804917
judge's	0.003709922257916411
amazon's	0.0036877745177241682
advisor	0.0036178157828312125
costs	0.003591449425459494
thursday	0.0035513725622544857
proceeds	0.0035404744678741752
zurich	0.0035404744678741752
brainstorm	0.0035404744678741752
tsla	0.0035404744678741752
flawed	0.0035404744678741752
solo	0.003448367992788977
changed	0.0034409854127248965
@blacq2	0.0033562615177037784
confidence	0.0033562615177037784
additional	0.003341496357575617
avista	0.003271537622682661
eager	0.003271537622682661
raymond	0.003271537622682661
medical-pharmacy	0.003271537622682661
glenview's	0.003271537622682661
bln	0.0032493898824904185
bonds	0.003234624722362257
transaction	0.003205094402105934
pharmacy-benefit	0.0031794311475974624
athenahealth	0.0031794311475974624
comp	0.003164665987469301
published	0.003142518247277058
#pharmacy	0.003120370507084816
@mercer	0.003087324672512264
pre-market	0.003087324672512264
louis-based	0.003087324672512264
grassley	0.003087324672512264
ac	0.0030725595123841025
democrat	0.002995218197427065
cign	0.002995218197427065
@postdispatchbiz	0.0029878356173629844
premarket	0.002980453037298904
plus	0.002936157556914419
cramer's	0.0029031117223418668
sc	0.002895729142277786
leading	0.0028588162419573818
urging	0.0028110052472566684
calculated	0.0027262813522355507
@stlouisbiz	0.0027262813522355507
braces	0.0027262813522355507
proxies	0.0027262813522355507
https://t.co/4rusmyevut	0.0027262813522355507
#icahn	0.0027262813522355507
approaching	0.0027262813522355507
noise	0.00271889877217147
intends	0.00271889877217147
boots	0.0027115161921073888
equity	0.0027041336120433085
@forbes	0.0026890169004835235
